"restaurant","MonOptions","TueOptions","WedOptions","ThuOptions","FriOptions","SatOptions","SunOptions"
"Kushi Tsuru","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner"
"Osakaya Restaurant","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner"
"The Stinking Rose","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner"
"McCormick & Kuleto's","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner"
"Mifune Restaurant","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner"
"The Cheesecake Factory","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","ALL"
"New Delhi Indian Restaurant","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Dinner"
"Iroha Restaurant","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner"
"Rose Pistola","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner"
"Alioto's Restaurant","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner"
"Canton Seafood & Dim Sum Restaurant","ALL","ALL","ALL","ALL","ALL","ALL","ALL"
"All Season Restaurant","ALL","ALL","ALL","ALL","ALL","ALL","ALL"
"Bombay Indian Restaurant","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner","Lunch&Dinner"
