"restaurant","MonDiff","TueDiff","WedDiff","ThuDiff","FriDiff","SatDiff","SunDiff","TotalDiff","WeekendDiff","WeekdayDiff","MonDiffInHrs","TueDiffInHrs","WedDiffInHrs","ThuDiffInHrs","FriDiffInHrs","SatDiffInHrs","SunDiffInHrs","TotalDiffInHrs","WeekendDiffInHrs","WeekdayDiffInHrs"
"Kushi Tsuru",9H 30M 0S,9H 30M 0S,9H 30M 0S,9H 30M 0S,9H 30M 0S,9H 30M 0S,9H 30M 0S,66H 30M 0S,19H 0M 0S,47H 30M 0S,9.5,9.5,9.5,9.5,9.5,9.5,9.5,66.5,19,47.5
"Osakaya Restaurant",9H 30M 0S,9H 30M 0S,9H 30M 0S,9H 30M 0S,10H 0M 0S,10H 0M 0S,9H 30M 0S,67H 30M 0S,19H 30M 0S,48H 0M 0S,9.5,9.5,9.5,9.5,10,10,9.5,67.5,19.5,48
"The Stinking Rose",10H 30M 0S,10H 30M 0S,10H 30M 0S,10H 30M 0S,11H 30M 0S,11H 30M 0S,10H 30M 0S,75H 30M 0S,22H 0M 0S,53H 30M 0S,10.5,10.5,10.5,10.5,11.5,11.5,10.5,75.5,22,53.5
"McCormick & Kuleto's",10H 30M 0S,10H 30M 0S,10H 30M 0S,10H 30M 0S,11H 30M 0S,11H 30M 0S,10H 30M 0S,75H 30M 0S,22H 0M 0S,53H 30M 0S,10.5,10.5,10.5,10.5,11.5,11.5,10.5,75.5,22,53.5
"Mifune Restaurant",11H 0M 0S,11H 0M 0S,11H 0M 0S,11H 0M 0S,11H 0M 0S,11H 0M 0S,11H 0M 0S,77H 0M 0S,22H 0M 0S,55H 0M 0S,11,11,11,11,11,11,11,77,22,55
"The Cheesecake Factory",12H 0M 0S,12H 0M 0S,12H 0M 0S,12H 0M 0S,13H 30M 0S,13H 30M 0S,13H 0M 0S,88H 0M 0S,26H 30M 0S,61H 30M 0S,12,12,12,12,13.5,13.5,13,88,26.5,61.5
"New Delhi Indian Restaurant",10H 30M 0S,10H 30M 0S,10H 30M 0S,10H 30M 0S,10H 30M 0S,10H 30M 0S,4H 30M 0S,67H 30M 0S,15H 0M 0S,52H 30M 0S,10.5,10.5,10.5,10.5,10.5,10.5,4.5,67.5,15,52.5
"Iroha Restaurant",10H 0M 0S,10H 0M 0S,10H 0M 0S,10H 0M 0S,10H 30M 0S,10H 30M 0S,10H 0M 0S,71H 0M 0S,20H 30M 0S,50H 30M 0S,10,10,10,10,10.5,10.5,10,71,20.5,50.5
"Rose Pistola",10H 30M 0S,10H 30M 0S,10H 30M 0S,10H 30M 0S,11H 30M 0S,11H 30M 0S,11H 30M 0S,76H 30M 0S,23H 0M 0S,53H 30M 0S,10.5,10.5,10.5,10.5,11.5,11.5,11.5,76.5,23,53.5
"Alioto's Restaurant",12H 0M 0S,12H 0M 0S,12H 0M 0S,12H 0M 0S,12H 0M 0S,12H 0M 0S,12H 0M 0S,84H 0M 0S,24H 0M 0S,60H 0M 0S,12,12,12,12,12,12,12,84,24,60
"Canton Seafood & Dim Sum Restaurant",11H 0M 0S,11H 0M 0S,11H 0M 0S,11H 0M 0S,11H 0M 0S,11H 30M 0S,11H 30M 0S,78H 0M 0S,23H 0M 0S,55H 0M 0S,11,11,11,11,11,11.5,11.5,78,23,55
"All Season Restaurant",11H 30M 0S,11H 30M 0S,11H 30M 0S,11H 30M 0S,11H 30M 0S,12H 0M 0S,12H 0M 0S,81H 30M 0S,24H 0M 0S,57H 30M 0S,11.5,11.5,11.5,11.5,11.5,12,12,81.5,24,57.5
"Bombay Indian Restaurant",11H 0M 0S,11H 0M 0S,11H 0M 0S,11H 0M 0S,11H 0M 0S,11H 0M 0S,11H 0M 0S,77H 0M 0S,22H 0M 0S,55H 0M 0S,11,11,11,11,11,11,11,77,22,55
"Sam's Grill & Seafood Restaurant",10H 0M 0S,10H 0M 0S,10H 0M 0S,10H 0M 0S,10H 0M 0S,4H 0M 0S,0S,54H 0M 0S,4H 0M 0S,50H 0M 0S,10,10,10,10,10,4,0,54,4,50
"2G Japanese Brasserie",11H 0M 0S,11H 0M 0S,11H 0M 0S,11H 0M 0S,12H 0M 0S,12H 0M 0S,11H 0M 0S,79H 0M 0S,23H 0M 0S,56H 0M 0S,11,11,11,11,12,12,11,79,23,56
"Restaurant Lulu",9H 30M 0S,9H 30M 0S,9H 30M 0S,9H 30M 0S,10H 30M 0S,10H 30M 0S,9H 30M 0S,68H 30M 0S,20H 0M 0S,48H 30M 0S,9.5,9.5,9.5,9.5,10.5,10.5,9.5,68.5,20,48.5
