"restaurant","MonStart","MonEnd","TueStart","TueEnd","WedStart","WedEnd","ThuStart","ThuEnd","FriStart","FriEnd","SatStart","SatEnd","SunStart","SunEnd"
"Kushi Tsuru","11:30 am","9:00 pm","11:30 am","9:00 pm","11:30 am","9:00 pm","11:30 am","9:00 pm","11:30 am","9:00 pm","11:30 am","9:00 pm","11:30 am","9:00 pm"
"Osakaya Restaurant","11:30 am","9:00 pm","11:30 am","9:00 pm","11:30 am","9:00 pm","11:30 am","9:00 pm","11:30 am","9:30 pm","11:30 am","9:30 pm","11:30 am","9:00 pm"
"The Stinking Rose","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","11:00 pm","11:30 am","11:00 pm","11:30 am","10:00 pm"
"McCormick & Kuleto's","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","11:00 pm","11:30 am","11:00 pm","11:30 am","10:00 pm"
"Mifune Restaurant","11:00 am","10:00 pm","11:00 am","10:00 pm","11:00 am","10:00 pm","11:00 am","10:00 pm","11:00 am","10:00 pm","11:00 am","10:00 pm","11:00 am","10:00 pm"
"The Cheesecake Factory","11:00 am","11:00 pm","11:00 am","11:00 pm","11:00 am","11:00 pm","11:00 am","11:00 pm","11:00 am","12:30 am","11:00 am","12:30 am","10:00 am","11:00 pm"
"New Delhi Indian Restaurant","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","10:00 pm","5:30 pm","10:00 pm"
"Iroha Restaurant","11:30 am","9:30 pm","11:30 am","9:30 pm","11:30 am","9:30 pm","11:30 am","9:30 pm","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","9:30 pm"
"Rose Pistola","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","11:00 pm","11:30 am","11:00 pm","11:30 am","11:00 pm"
"Alioto's Restaurant","11:00 am","11:00 pm","11:00 am","11:00 pm","11:00 am","11:00 pm","11:00 am","11:00 pm","11:00 am","11:00 pm","11:00 am","11:00 pm","11:00 am","11:00 pm"
"Canton Seafood & Dim Sum Restaurant","10:30 am","9:30 pm","10:30 am","9:30 pm","10:30 am","9:30 pm","10:30 am","9:30 pm","10:30 am","9:30 pm","10:00 am","9:30 pm","10:00 am","9:30 pm"
"All Season Restaurant","10:00 am","9:30 pm","10:00 am","9:30 pm","10:00 am","9:30 pm","10:00 am","9:30 pm","10:00 am","9:30 pm","9:30 am","9:30 pm","9:30 am","9:30 pm"
"Bombay Indian Restaurant","11:30 am","10:30 pm","11:30 am","10:30 pm","11:30 am","10:30 pm","11:30 am","10:30 pm","11:30 am","10:30 pm","11:30 am","10:30 pm","11:30 am","10:30 pm"
"Sam's Grill & Seafood Restaurant","11:00 am","9:00 pm","11:00 am","9:00 pm","11:00 am","9:00 pm","11:00 am","9:00 pm","11:00 am","9:00 pm","5:00 pm","9:00 pm",NA,NA
"2G Japanese Brasserie","11:00 am","10:00 pm","11:00 am","10:00 pm","11:00 am","10:00 pm","11:00 am","10:00 pm","11:00 am","11:00 pm","11:00 am","11:00 pm","11:00 am","10:00 pm"
"Restaurant Lulu","11:30 am","9:00 pm","11:30 am","9:00 pm","11:30 am","9:00 pm","11:30 am","9:00 pm","11:30 am","10:00 pm","11:30 am","10:00 pm","11:30 am","9:00 pm"
"Sudachi","5:00 pm","12:30 am","5:00 pm","12:30 am","5:00 pm","12:30 am","5:00 pm","1:30 am","5:00 pm","1:30 am","3:00 pm","1:30 am","3:00 pm","11:30 pm"
"Hanuri","11:00 am","12:00 am","11:00 am","12:00 am","11:00 am","12:00 am","11:00 am","12:00 am","11:00 am","12:00 am","11:00 am","12:00 am","11:00 am","12:00 am"
"Herbivore","9:00 am","10:00 pm","9:00 am","10:00 pm","9:00 am","10:00 pm","9:00 am","10:00 pm","9:00 am","11:00 pm","9:00 am","11:00 pm","9:00 am","10:00 pm"
